City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
279,Amos,48.57,-78.12,35.6,64,90,10.29,CA,2020-05-10 20:48:15,light snow,0.0,0.0
280,Tarudant,48.57,-78.12,35.6,64,90,10.29,CA,2020-05-10 20:48:15,light snow,0.0,0.0
281,Urumqi,43.8,87.6,73.4,10,66,8.95,CN,2020-05-10 20:48:15,broken clouds,0.0,0.0
282,Chipinge,-20.19,32.62,53.6,85,31,3.53,ZW,2020-05-10 20:48:15,scattered clouds,0.0,0.0
283,Tocopilla,-22.09,-70.2,68.29,59,37,7.85,CL,2020-05-10 20:48:15,scattered clouds,0.0,0.0
284,Melendugno,40.27,18.34,59.0,87,40,8.05,IT,2020-05-10 20:48:16,scattered clouds,0.0,0.0
285,Sisimiut,66.94,-53.67,41.74,67,100,1.9,GL,2020-05-10 20:48:16,overcast clouds,0.0,0.0
286,Salalah,17.02,54.09,82.4,88,20,3.36,OM,2020-05-10 20:47:57,few clouds,0.0,0.0
287,Hami,42.8,93.45,59.25,27,0,9.17,CN,2020-05-10 20:48:16,clear sky,0.0,0.0
288,Sorland,67.67,12.69,32.0,79,90,5.82,NO,2020-05-10 20:48:16,shower snow,0.0,0.0
289,Jacareacanga,-6.22,-57.75,80.64,93,73,1.79,BR,2020-05-10 20:48:16,moderate rain,0.0,0.0
290,Lagoa,39.05,-27.98,58.59,71,85,25.48,PT,2020-05-10 20:48:16,overcast clouds,0.0,0.0
291,Norman Wells,65.28,-126.83,51.8,43,20,14.99,CA,2020-05-10 20:48:17,few clouds,0.0,0.0
292,Darnah,32.77,22.64,69.46,48,0,10.0,LY,2020-05-10 20:48:17,clear sky,0.0,0.0
293,Umba,66.69,34.34,36.12,82,99,18.86,RU,2020-05-10 20:48:17,overcast clouds,0.0,0.0
294,Palanpur,24.17,72.43,78.6,60,0,3.91,IN,2020-05-10 20:48:17,clear sky,0.0,0.0
295,Castanheira De Pera,40.01,-8.21,61.0,90,100,3.4,PT,2020-05-10 20:48:17,overcast clouds,0.0,0.0
296,Fethiye,36.62,29.12,62.6,82,33,2.24,TR,2020-05-10 20:48:17,scattered clouds,0.0,0.0
297,Talara,-4.58,-81.27,73.67,76,72,14.32,PE,2020-05-10 20:48:17,broken clouds,0.0,0.0
298,Severo-Kurilsk,50.68,156.12,34.0,88,50,6.24,RU,2020-05-10 20:48:17,scattered clouds,0.0,0.0
299,Mogocha,53.73,119.77,35.91,92,100,5.57,RU,2020-05-10 20:48:17,overcast clouds,0.0,0.0
300,Antalaha,-14.9,50.28,72.95,83,36,8.3,MG,2020-05-10 20:48:18,scattered clouds,0.0,0.0
301,Mudon,16.26,97.72,82.31,81,81,1.79,MM,2020-05-10 20:48:18,broken clouds,0.0,0.0
302,Areosa,41.72,-8.86,60.01,87,40,9.17,PT,2020-05-10 20:48:18,scattered clouds,0.0,0.0
303,Wa,41.72,-8.86,60.01,87,40,9.17,PT,2020-05-10 20:48:18,scattered clouds,0.0,0.0
304,Bartoszyce,54.25,20.81,55.22,84,100,12.39,PL,2020-05-10 20:48:18,overcast clouds,0.0,0.0
305,Rio Grande,-32.03,-52.1,80.6,36,40,5.82,BR,2020-05-10 20:48:18,scattered clouds,0.0,0.0
306,Thunder Bay,48.4,-89.32,39.99,64,90,8.05,CA,2020-05-10 20:47:55,light snow,0.0,0.0
