City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Torbay,47.67,-52.73,43.0,70,75,16.11,CA,2020-05-06 18:31:27
70,Saint-Pierre,-21.34,55.48,75.2,83,90,3.36,RE,2020-05-06 18:31:27
71,Kichera,55.94,110.1,33.87,90,100,5.41,RU,2020-05-06 18:31:27
72,Barrow,71.29,-156.79,8.6,92,90,12.75,US,2020-05-06 18:31:27
73,Ryotsu,38.08,138.43,46.4,93,75,4.7,JP,2020-05-06 18:31:27
74,Valparaiso,-33.04,-71.63,77.0,27,0,5.82,CL,2020-05-06 18:31:27
75,Christchurch,-43.53,172.63,46.0,86,74,3.36,NZ,2020-05-06 18:29:36
76,Moose Factory,51.26,-80.61,28.4,63,90,8.05,CA,2020-05-06 18:31:28
77,Puerto Ayora,-0.74,-90.35,82.4,74,20,12.75,EC,2020-05-06 18:31:28
78,Castro,-24.79,-50.01,61.86,92,100,7.31,BR,2020-05-06 18:27:58
79,Axim,4.87,-2.24,81.52,83,100,6.53,GH,2020-05-06 18:31:28
80,Kruisfontein,-34.0,24.73,58.68,97,48,4.97,ZA,2020-05-06 18:31:28
81,Husavik,66.04,-17.34,46.4,52,75,3.36,IS,2020-05-06 18:28:49
82,Guerrero Negro,27.98,-114.06,81.5,37,0,10.4,MX,2020-05-06 18:31:29
83,Rundu,-17.93,19.77,68.0,37,0,4.7,NA,2020-05-06 18:31:29
84,Winslow,35.02,-110.7,78.8,14,1,4.7,US,2020-05-06 18:31:29
85,Saint-Philippe,-21.36,55.77,75.2,83,90,3.36,RE,2020-05-06 18:31:29
86,Vanderhoof,54.02,-124.02,52.65,54,100,4.83,CA,2020-05-06 18:31:29
87,Tiksi,71.69,128.87,19.24,97,100,6.08,RU,2020-05-06 18:31:29
88,Luderitz,-26.65,15.16,76.68,26,0,9.6,NA,2020-05-06 18:31:30
89,Belmonte,-15.86,-38.88,82.4,61,20,12.75,BR,2020-05-06 18:31:30
90,Chokurdakh,70.63,147.92,18.32,97,97,4.63,RU,2020-05-06 18:31:30
91,Qiongshan,20.01,110.35,80.6,83,100,6.71,CN,2020-05-06 18:31:30
92,Glenwood Springs,39.55,-107.32,66.0,24,1,4.7,US,2020-05-06 18:31:30
93,Kahramanmaras,38.0,37.0,64.4,59,20,17.22,TR,2020-05-06 18:31:30
94,Mount Gambier,-37.83,140.77,60.8,41,100,17.22,AU,2020-05-06 18:31:31
95,Poum,-20.23,164.02,71.33,78,100,17.45,NC,2020-05-06 18:31:31
96,Matara,5.95,80.54,79.39,85,100,3.0,LK,2020-05-06 18:31:31
97,New Norfolk,-42.78,147.06,50.0,71,100,4.0,AU,2020-05-06 18:31:31
98,Bangui,4.36,18.55,87.8,58,20,4.7,CF,2020-05-06 18:31:31
99,Gladstone,-23.85,151.25,66.2,68,5,11.41,AU,2020-05-06 18:31:31
100,Sola,-13.88,167.55,81.18,77,68,14.92,VU,2020-05-06 18:31:32
101,Te Anau,-45.42,167.72,50.36,83,100,6.71,NZ,2020-05-06 18:31:32
102,Saldanha,-33.01,17.94,68.0,60,19,5.82,ZA,2020-05-06 18:29:35
103,Faanui,-16.48,-151.75,82.4,76,36,13.69,PF,2020-05-06 18:31:32
104,Kodiak,57.79,-152.41,44.6,87,90,12.75,US,2020-05-06 18:31:33
105,Ilulissat,69.22,-51.1,30.2,54,40,5.82,GL,2020-05-06 18:31:33
106,Caravelas,-17.71,-39.25,79.97,66,0,8.14,BR,2020-05-06 18:31:33
107,San Cristobal,7.77,-72.22,93.2,49,40,13.87,VE,2020-05-06 18:31:33
108,Padang,-0.95,100.35,79.54,76,66,3.6,ID,2020-05-06 18:31:33
109,Adwa,14.16,38.9,73.35,53,80,13.47,ET,2020-05-06 18:31:33
110,Kenai,60.55,-151.26,53.6,32,1,5.82,US,2020-05-06 18:30:02
111,Olafsvik,64.89,-23.71,43.38,81,86,10.89,IS,2020-05-06 18:31:34
112,Sioux Lookout,50.1,-91.92,44.6,36,20,5.82,CA,2020-05-06 18:31:34
113,Omsukchan,62.53,155.8,25.05,96,100,12.5,RU,2020-05-06 18:31:34
114,Boende,-0.22,20.87,76.28,82,100,1.77,CD,2020-05-06 18:31:34
115,Butaritari,3.07,172.79,82.87,79,9,11.36,KI,2020-05-06 18:31:34
116,Aleppo,36.25,37.5,61.23,75,0,25.72,SY,2020-05-06 18:31:35
117,Saint George,37.1,-113.58,84.0,16,1,1.61,US,2020-05-06 18:30:05
118,Birao,10.28,22.79,83.48,45,67,3.74,CF,2020-05-06 18:31:35
119,Talakan,50.32,130.37,41.25,61,86,2.71,RU,2020-05-06 18:31:35
120,Kapaa,22.08,-159.32,73.4,88,90,18.34,US,2020-05-06 18:31:35
121,Shostka,51.86,33.47,51.84,88,2,5.75,UA,2020-05-06 18:31:36
122,Lompoc,34.64,-120.46,82.4,24,1,6.93,US,2020-05-06 18:31:36
123,Goure,13.98,10.27,83.61,13,0,4.03,NE,2020-05-06 18:31:36
124,Lebu,-37.62,-73.65,60.33,58,83,17.54,CL,2020-05-06 18:31:36
125,Alice Springs,-23.7,133.88,60.8,31,38,3.36,AU,2020-05-06 18:31:36
126,Khatanga,71.97,102.5,6.49,89,100,13.98,RU,2020-05-06 18:31:36
127,Clyde River,70.47,-68.59,14.0,78,20,6.93,CA,2020-05-06 18:31:36
128,Thompson,55.74,-97.86,30.2,39,5,8.05,CA,2020-05-06 18:31:37
129,Yellowknife,62.46,-114.35,42.8,48,75,13.87,CA,2020-05-06 18:30:05
130,Port Lincoln,-34.73,135.87,57.79,80,98,17.31,AU,2020-05-06 18:31:37
131,Whitehorse,60.72,-135.05,48.2,42,20,4.7,CA,2020-05-06 18:27:04
132,Purpe,64.48,76.69,33.01,86,100,11.54,RU,2020-05-06 18:31:37
133,Alekseyevka,50.63,38.69,57.09,89,90,6.46,RU,2020-05-06 18:31:37
134,Sitka,57.05,-135.33,55.4,43,90,13.87,US,2020-05-06 18:31:38
135,Mehran,33.12,46.16,53.6,50,0,4.7,IR,2020-05-06 18:31:38
136,Baykit,61.67,96.37,36.16,82,100,2.48,RU,2020-05-06 18:31:38
137,Lavrentiya,65.58,-171.0,22.01,89,0,2.26,RU,2020-05-06 18:31:38
138,Oxapampa,-10.58,-75.4,75.34,53,99,5.03,PE,2020-05-06 18:31:38
139,Bentiu,9.23,29.83,90.79,35,100,5.41,SS,2020-05-06 18:31:38
140,Samarai,-10.62,150.67,79.88,77,100,20.36,PG,2020-05-06 18:31:38
141,Nyurba,63.28,118.33,32.0,98,100,10.76,RU,2020-05-06 18:31:39
142,Marrakesh,31.63,-8.01,86.0,35,75,12.75,MA,2020-05-06 18:31:39
143,Bengkulu,-3.8,102.27,78.64,89,81,4.47,ID,2020-05-06 18:29:08
144,Fortuna,40.6,-124.16,60.01,67,1,14.99,US,2020-05-06 18:31:39
145,Ancud,-41.87,-73.82,64.0,77,75,2.24,CL,2020-05-06 18:31:39
146,Ribeira Grande,38.52,-28.7,66.2,88,20,9.17,PT,2020-05-06 18:31:39
147,Basco,20.45,121.97,80.98,85,86,8.55,PH,2020-05-06 18:31:39
148,Andenes,69.31,16.12,41.0,86,100,27.51,NO,2020-05-06 18:31:40
149,Nakhon Thai,17.1,100.84,93.99,55,0,2.28,TH,2020-05-06 18:31:40
150,Hobyo,5.35,48.53,84.49,74,100,10.94,SO,2020-05-06 18:31:40
151,Smithers,54.78,-127.17,50.0,57,90,4.7,CA,2020-05-06 18:31:40
152,Severo-Kurilsk,50.68,156.12,33.22,91,39,15.3,RU,2020-05-06 18:31:40
153,Cabedelo,-6.98,-34.83,78.8,94,40,4.7,BR,2020-05-06 18:31:40
154,Dunedin,-45.87,170.5,52.0,55,83,7.23,NZ,2020-05-06 18:28:28
155,Brae,60.4,-1.35,50.0,71,18,9.17,GB,2020-05-06 18:31:40
156,Ornskoldsvik,63.29,18.72,44.6,45,3,14.99,SE,2020-05-06 18:31:41
157,Kosum Phisai,16.25,103.07,89.6,62,70,4.7,TH,2020-05-06 18:31:41
158,Tautira,-17.73,-149.15,78.8,78,41,3.36,PF,2020-05-06 18:31:41
159,Amahai,-3.33,128.92,79.47,82,0,2.59,ID,2020-05-06 18:31:41
160,Marawi,8.0,124.29,78.01,87,1,4.0,PH,2020-05-06 18:31:41
161,Georgetown,5.41,100.34,84.2,94,20,3.67,MY,2020-05-06 18:31:41
162,Meulaboh,4.14,96.13,78.26,88,3,4.03,ID,2020-05-06 18:31:42
163,Nouadhibou,20.93,-17.03,71.6,68,0,18.34,MR,2020-05-06 18:30:09
164,Asosa,10.07,34.53,73.83,56,1,2.39,ET,2020-05-06 18:31:42
165,Kayerkan,69.35,87.76,28.4,92,75,4.47,RU,2020-05-06 18:31:42
166,Bone,51.97,12.14,57.99,40,100,1.01,DE,2020-05-06 18:31:42
167,Mercedes,-34.65,-59.43,63.0,63,100,5.01,AR,2020-05-06 18:31:42
168,Namibe,-15.2,12.15,79.61,67,0,4.0,AO,2020-05-06 18:31:42
169,West Wendover,40.74,-114.07,75.2,8,1,17.22,US,2020-05-06 18:31:43
170,Caucaia,-3.74,-38.65,87.8,58,20,20.8,BR,2020-05-06 18:31:43
171,Santa Marta,11.24,-74.2,91.4,66,75,9.17,CO,2020-05-06 18:29:11
172,Mogadishu,2.04,45.34,83.71,77,99,14.7,SO,2020-05-06 18:31:13
173,Luanda,-8.84,13.23,80.6,88,40,8.05,AO,2020-05-06 18:31:43
174,Hithadhoo,-0.6,73.08,84.4,75,0,9.1,MV,2020-05-06 18:31:43
175,Vanimo,-2.67,141.3,79.61,82,100,3.11,PG,2020-05-06 18:31:44
176,Batamshinskiy,50.56,58.27,51.8,62,11,6.71,KZ,2020-05-06 18:31:44
177,Maceio,-9.67,-35.74,84.2,70,40,11.41,BR,2020-05-06 18:31:44
178,Bozdar,27.18,68.64,84.2,54,0,4.7,PK,2020-05-06 18:31:44
179,Riyadh,24.69,46.72,86.0,16,68,18.34,SA,2020-05-06 18:26:51
180,Vegreville,53.5,-112.05,61.79,37,4,13.18,CA,2020-05-06 18:31:44
181,Ponta Delgada,37.73,-25.67,64.4,93,75,5.82,PT,2020-05-06 18:29:42
182,Talara,-4.58,-81.27,87.8,55,32,9.17,PE,2020-05-06 18:31:44
183,Rudnyy,52.96,63.12,51.8,50,0,6.71,KZ,2020-05-06 18:31:45
184,Pisco,-13.7,-76.22,73.99,73,61,8.05,PE,2020-05-06 18:31:45
185,Codrington,-38.27,141.97,58.01,49,100,18.54,AU,2020-05-06 18:31:45
186,Sorland,67.67,12.69,39.2,86,75,27.51,NO,2020-05-06 18:31:45
187,Gorontalo,0.54,123.06,76.39,89,1,2.15,ID,2020-05-06 18:31:45
188,Buraydah,26.33,43.98,84.2,32,43,13.87,SA,2020-05-06 18:27:43
189,Bonthe,7.53,-12.51,82.8,82,23,8.39,SL,2020-05-06 18:31:45
190,Carnarvon,-24.87,113.63,61.79,65,0,21.81,AU,2020-05-06 18:31:46
